odiNumber,manufacturer,crash,fire,numberOfInjuries,numberOfDeaths,dateOfIncident,dateComplaintFiled,vin,components,summary,type,productYear,productMake,productModel
11639051,honda (american honda motor co.),false,false,0,0,,,5J8TC2H76LL,suspension,lower control arm rubs against subframe  makes noise as going over bumps   acura has a service bulletin 20025 from june 19 2020 identifying issue    issue told to tech in past but was identified  now identified at 66881 on car out of warranty but acura will not cover    rubbing seems like safety issue over time,vehicle,2020,acura,rdx
11639228,honda (american honda motor co.),false,false,0,0,,,5J8TC1H34LL,unknown or other,rear windshield shattered just sitting in driveway did some research and found out acura knows about this through tsb 22014,vehicle,2020,acura,rdx
11639235,honda (american honda motor co.),false,false,0,0,,,5J8TC2H54LL,visibility/wiper,rear windows broken by itself no known cause while driving i heard a bang but didnt realize at first what it was until i pulled over and looked at the car i had it replaced at safelite waited 2 weeks there is glass in my tailgate which is impossible to remove  did not know others had this issue as well until recently saw it online honda needs to address this issue,vehicle,2020,acura,rdx
11638684,honda (american honda motor co.),false,false,0,0,,,5J8TC2H58LL,unknown or other,the rear window has busted out on its own twice with glass everywhere first time went through insurance second time i went through the dealer ship i disappointed in acura telling me there is nothing they can do to prevent this its a defect in the car it is dangerous and messy at my cost,vehicle,2020,acura,rdx
11638668,honda (american honda motor co.),false,false,0,0,,,5J8TC2H6XLL,unknown or other,there is known issue where the rear glass will just randomly shatter my car was parked and no one was near it i came out to leave and i noticed the rear glass was shattered this issue has been reported by thousands of other rdx owners its absolutely insane that this isnt recalled and covered by acura additionally it has been over a year and they still have not contacted me about the part to the fuel pump recall they claim they dont have the part in its been over a year that ive been waiting,vehicle,2020,acura,rdx
11638476,honda (american honda motor co.),false,false,0,0,,,5J8TC1H57LL,unknown or other,this is the second time my back windshield has spontaneously crumbled  ive never had this to happen to any car ive ever owned  what is wrong with g with this vehicle  ive seen on you tube and til you that i am not the only owner this has happened,vehicle,2020,acura,rdx
11638511,honda (american honda motor co.),false,false,0,0,,,5J8TC2H51LL,"unknown or other,visibility/wiper",open the driver door to start the vehicle and while closing the door the back windshield shatter,vehicle,2020,acura,rdx
11638354,honda (american honda motor co.),false,false,0,0,,,5J8TC2H52LL,structure,this is the second time my rear windshield spontaneously blew out in cold weather after using  the rear deicer  this is a known problem pursuant to acura service bulletin 22014  instead of replacing the windshield with the oem the component should be redesigned and recalled,vehicle,2020,acura,rdx
11638434,honda (american honda motor co.),false,false,0,0,,,5J8TC2H53LL,unknown or other,back window shattered acura refused to cover the repair,vehicle,2020,acura,rdx
11638435,honda (american honda motor co.),false,false,0,0,,,5J8TC2H53LL,unknown or other,back window shattered acura refused to cover the repair,vehicle,2020,acura,rdx
