odiNumber,manufacturer,crash,fire,numberOfInjuries,numberOfDeaths,dateOfIncident,dateComplaintFiled,vin,components,summary,type,productYear,productMake,productModel,components_encoded,severity
11637542,honda (american honda motor co.),0,0,0,0,,,5J8TB4H51HL,electrical system,keyless access unit and security system random ignition flickering and alarm going on and off numerous times with or without key nearby said to be commonly known issue for similar years for various acura models including rdx,vehicle,2017,acura,rdx,2,leve
11634506,honda (american honda motor co.),0,0,0,0,,,5J8TB3H30HL,power train,vehicle has only around 83000 miles on it and needed a whole new torque converter the vehicle was displaying problems in delay in shifting so i was planing an inspection however before the date reached my a check transmission light displayed on my dash so i had to move the inspection date up no one was harmed but it was concerning to me when i was driving on the highway and saw my check transmission light was on the dealership i bought it from carmax is currently repairing it and luckily i had an extended warranty i know other models of acura have had problems with torque converters but this one was not reported to have recall,vehicle,2017,acura,rdx,13,leve
11625027,honda (american honda motor co.),0,0,0,0,,,5J8TB3H54HL,engine,premature defective hydraulic timing belt tensioner similarly  to the 2018 and 2019 rdx under recall the seal in the tensioner prematurely aged causing hydraulic leakage making it unable to maintain timing belt tension  if the tensioner fail at highway speed causing the timing belt to skip leading to out of timing and major engine malfunction,vehicle,2017,acura,rdx,7,leve
11621839,honda (american honda motor co.),0,0,0,0,,,5J8TB3H55HL,electrical system,dashboard warning lights all light up at once flickering on and off lights turn on and off inside car it unlocks and locks car on its own says key is not close to car when trying to turn on car alarm goes off randomly once parked and locked,vehicle,2017,acura,rdx,2,leve
11617157,honda (american honda motor co.),0,0,0,0,,,5J8TB3H7XHL,"electrical system,unknown or other",the alarm and lights keep going off for no reason the doors can be locked and armed goes off even when not locked,vehicle,2017,acura,rdx,5,leve
11604739,honda (american honda motor co.),0,0,0,0,,,5J8TB4H79HL,electrical system,keyless access control unit aka smart power control unit is defective this is an electronic part and should not have failed it causes random security alarm triggers random flashing of exterior lights clicking noises and flashing of dash lights there are plenty of discussion boards about this online with many complaints a recall should definitely be issued,vehicle,2017,acura,rdx,2,leve
11598612,honda (american honda motor co.),0,0,0,0,,,5J8TB4H5XHL,"power train,electrical system,engine",vehicle began jerking while in motion and all error messages the vehicle has ability to display rotated across the screen including po848  transmission was replaced by a dealer  vehicle would not start two weeks later  vehicle towed to dealer  dealer stated battery and starter were bad  both of those components replaced by acura dealer  within one week alarm was sounding randomly and clicking noise coming from dash  dealer is now replacing a control module  this is a safety issue because as it was jerking i lost control of the vehicle  the car alarm going off for a prolonged time at high decibels puts the hearing of bystanders at risk  seems the car poses a fire risk as well,vehicle,2017,acura,rdx,15,leve
11590516,honda (american honda motor co.),1,0,1,0,,,5J8TB4H34HL,air bags,the contact owns a 2017 acura rdx the contact stated that while driving approximately 35 mph and attempting to avoid a second vehicle the husband lost control of the steering and crashed into a tree during the crash the front end of the vehicle was severely damaged but the front drivers side air bag did not deploy the front passenger side curtain air bag did deploy although no passenger was seated in the vehicle the vehicle was destroyed and towed away a police report was taken at the scene the driver sustained a right hand abrasion that did not required medical treatment the cause of the failure was not determined the manufacturer and local dealer were not notified the failure mileage was 91000,vehicle,2017,acura,rdx,0,leve
11589269,honda (american honda motor co.),0,0,0,0,,,5J8TB3H34HL,"power train,service brakes",the rear brakes squeal as though they are constantly on brake pads rear have not gone down from 45 mm in over 10 months whole front pads have been replaced twice and rotors once within the same time period the constant squealing has shown to overheat the brake system which in turn overheats the transmissiontransfer casing causing the at hot warning light to engage temporarily at high speeds over 60mph only as well as minor transmission leaks seized calipers have been determined by an acura dealership service mechanic to be the cause of these issues and has said it is a common problem this needs to be recalled if its so common,vehicle,2017,acura,rdx,17,leve
11588985,honda (american honda motor co.),1,0,1,0,,,5J8TB3H53HL,"air bags,seat belts",rear ended other vehicle going about 40 plus miles per hour then another vehicle rear ended me upon impact  which i have pictures of  my driver side seatbelt released completely unbuckled  dangling  my dash lit up  said airbags deployed but no airbags deployed in turn upon impact my sternum hit my steering wheel  it busted the radiator so now my car will not even turn on   it is at a collision center awaiting adjuster inspection  since the radiator busted the other vehicle  myself couldnt tell if it was steam or smoke coming from the engine so i turned the car off it has never turned back on since,vehicle,2017,acura,rdx,1,leve
