odiNumber,manufacturer,crash,fire,numberOfInjuries,numberOfDeaths,dateOfIncident,dateComplaintFiled,vin,components,summary,type,productYear,productMake,productModel
11639051,Honda (American Honda Motor Co.),false,false,0,0,01/21/2025,01/28/2025,5J8TC2H76LL,SUSPENSION,"Lower control arm rubs against subframe.  Makes noise as going over bumps.   Acura has a service bulletin, 20-025, from June 19, 2020 identifying issue.    Issue told to tech in past but was identified.  Now identified at 66,881 on car out of warranty but Acura will not cover.    Rubbing seems like safety issue over time",Vehicle,2020,ACURA,RDX
11639228,Honda (American Honda Motor Co.),false,false,0,0,01/28/2025,01/28/2025,5J8TC1H34LL,UNKNOWN OR OTHER,Rear Windshield shattered just sitting in driveway. Did some research and found out Acura knows about this through TSB 22-014.,Vehicle,2020,ACURA,RDX
11639235,Honda (American Honda Motor Co.),false,false,0,0,12/21/2024,01/28/2025,5J8TC2H54LL,VISIBILITY/WIPER,Rear windows broken by itself. No known cause while driving. I heard a bang but didnt realize at first what it was until I pulled over and looked at the car. I had it replaced at safelite. Waited 2 weeks. There is glass in my tailgate which is impossible to remove.  Did not know others had this issue as well until recently saw it online. Honda needs to address this issue.,Vehicle,2020,ACURA,RDX
11638684,Honda (American Honda Motor Co.),false,false,0,0,01/16/2025,01/27/2025,5J8TC2H58LL,UNKNOWN OR OTHER,The rear window has busted out on its own twice with glass everywhere. First time went through insurance second time I went through the dealer ship. I disappointed in Acura telling me there is nothing they can do to prevent this. It’s a defect in the car. It is dangerous and messy at my cost!,Vehicle,2020,ACURA,RDX
11638668,Honda (American Honda Motor Co.),false,false,0,0,01/26/2025,01/26/2025,5J8TC2H6XLL,UNKNOWN OR OTHER,"There is known issue where the rear glass will just randomly shatter. My car was parked and no one was near it. I came out to leave and I noticed the rear glass was shattered. This issue has been reported by thousands of other RDX owners. It’s absolutely insane that this isn’t recalled and covered by Acura. Additionally, it has been over a year and they still have not contacted me about the part to the fuel pump recall. They claim they don’t have the part in. It’s been over a year that I’ve been waiting.",Vehicle,2020,ACURA,RDX
11638476,Honda (American Honda Motor Co.),false,false,0,0,01/25/2025,01/25/2025,5J8TC1H57LL,UNKNOWN OR OTHER,This is the second time my back windshield has spontaneously crumbled!  I’ve never had this to happen to any car I’ve ever owned.  What is wrong with g with this vehicle.  I’ve seen on you tube and til you that I am not the only owner this has happened.,Vehicle,2020,ACURA,RDX
11638511,Honda (American Honda Motor Co.),false,false,0,0,01/25/2025,01/25/2025,5J8TC2H51LL,"UNKNOWN OR OTHER,VISIBILITY/WIPER",Open the driver door to start the Vehicle and while closing the door the Back windshield shatter.,Vehicle,2020,ACURA,RDX
11638354,Honda (American Honda Motor Co.),false,false,0,0,01/22/2025,01/24/2025,5J8TC2H52LL,STRUCTURE,"This is the second time my rear windshield spontaneously blew out in cold weather after using  the rear deicer.  This is a known problem pursuant to Acura Service Bulletin 22-014.  Instead of replacing the windshield with the. OEM, the component should be redesigned. and recalled.",Vehicle,2020,ACURA,RDX
11638434,Honda (American Honda Motor Co.),false,false,0,0,01/23/2024,01/24/2025,5J8TC2H53LL,UNKNOWN OR OTHER,Back window shattered.. Acura refused to cover the repair,Vehicle,2020,ACURA,RDX
11638435,Honda (American Honda Motor Co.),false,false,0,0,01/23/2025,01/24/2025,5J8TC2H53LL,UNKNOWN OR OTHER,Back window shattered.. Acura refused to cover the repair,Vehicle,2020,ACURA,RDX
11637352,Honda (American Honda Motor Co.),false,false,0,0,01/13/2025,01/21/2025,5J8TC2H61LL,VISIBILITY,"The contact owns a 2020 Acura RDX. The contact stated that after starting the vehicle, the vehicle started to warm up and the contact heard a loud pop coming from the rear glass. The contact stated that upon inspection, the contact became aware that the rear glass had shattered. No warning lights were illuminated. The contact called a glass repair company, and the glass was replaced. The local dealer was contacted; however, the vehicle was not diagnosed. The vehicle was repaired. The manufacturer was notified of the failure. The approximate failure mileage was 82,000.",Vehicle,2020,ACURA,RDX
11637437,Honda (American Honda Motor Co.),false,false,0,0,01/22/2024,01/21/2025,5J8TC2H50LL,"ELECTRICAL SYSTEM,UNKNOWN OR OTHER","My rear window has exploded twice in less than a year. American Honda is aware of this problem and has issued a service bulletin, 22-014.  American Honda is refusing to pay my out of pocket expenses totalling $1,100.00.  There is a class action suit in CA against American Honda.   In both situations my window exploded, parked, for no reason. This is also a safety issued with glass shattering with passengers in the back seat, or also while I am driving.  The lawsuit said the defroster (rear) is defective. Please look at all the internet postings on this. To include facebook which has a group called ""Acrua Shattered""  First incident was 1/22/2024, and the last was on 12/27/2024.  Please help us consumers.",Vehicle,2020,ACURA,RDX
11636603,Honda (American Honda Motor Co.),false,false,0,0,01/16/2025,01/17/2025,5J8TC2H65LL,VISIBILITY/WIPER,Rear window randomly shattered. I was just sitting at a red light and it shattered. Nothing hit it or damaged it. I read online this is a reoccurring problem others have experienced with 2019 models and newer. This needs to be addressed. If I was going down the road this could have caused an accident.,Vehicle,2020,ACURA,RDX
11636063,Honda (American Honda Motor Co.),false,false,0,0,01/11/2025,01/15/2025,5J8TC1H68LL,VISIBILITY/WIPER,The rear windshield glass shattered while the car was parked in an open area. There wasn't an impact incident of any type.   Acura is aware of the issue on this model of RDX (there's a service bulletin) but is refusing to cover the repair out of warranty.   I know hundreds of owners have already filed complaints but wanted to add our incident as well.,Vehicle,2020,ACURA,RDX
11636069,Honda (American Honda Motor Co.),false,false,0,0,01/14/2025,01/15/2025,5J8TC1H54LL,VISIBILITY,"The contact owns a 2020 Acura RDX. The contact stated while driving 25 MPH, there was a popping sound coming from the rear of the vehicle and the contact became aware that the rear window glass had shattered. No warning lights were illuminated. The local dealer was contacted; however, the vehicle was not diagnosed. The VIN was not under recall for the failure. The vehicle was repaired. The manufacturer was notified of the failure. The approximate failure mileage was 55,000.",Vehicle,2020,ACURA,RDX
